vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.0028354398589510083,0.38691895155930456,0.01717338582186597
25%,v1,0.002845388770736801,0.38891531711033306,0.013620428158652423
25%,v1,0.0028553376825225943,0.3915559849886641,0.01230642375780499
25%,v1,0.002865286594308387,0.39259740551256517,0.010241937304033591
25%,v1,0.0028752355060941803,0.3949275319412938,0.010179506900958762
25%,v1,0.002885184417879973,0.39694505034869587,0.010655934393794163
25%,v1,0.0028951333296657663,0.39894141589972437,0.010179506900958762
25%,v1,0.0029050822414515595,0.3997924125338432,0.010179506900958762
25%,v1,0.0029150311532373523,0.40045786771751934,0.012329583723175793
25%,v1,0.0029249800650231455,0.40112332290119557,0.012937927475449864
25%,v1,0.0029349289768089383,0.40126273597521894,0.012937927475449864
25%,v1,0.0029448778885947315,0.400993475424,0.012909849393074943
25%,v1,0.0029548268003805243,0.4011271492867482,0.011818108789900745
25%,v1,0.0029647757121663175,0.40179934425193436,0.010275216530874754
25%,v1,0.0029747246239521102,0.4028064466636588,0.01230642375780499
25%,v1,0.0029846735357379034,0.40470050662597296,0.012061216829548428
25%,v1,0.0029946224475236962,0.4061683505701833,0.00843638000059318
25%,v1,0.0030045713593094894,0.40654669187062814,0.00873410905810246
25%,v1,0.0030145202710952826,0.4071807787802704,0.010412915165348762
25%,v1,0.0030244691828810754,0.40770930038708847,0.007469715910706839
25%,v1,0.0030344180946668686,0.4090933945303268,0.007469715910706839
25%,v1,0.0030443670064526614,0.41000023959447024,0.007628983370260026
25%,v1,0.0030543159182384546,0.4106656947781464,0.01363325129064117
25%,v1,0.0030642648300242474,0.4114926933923387,0.014116436188594738
25%,v1,0.0030742137418100406,0.4131018748250496,0.014116436188594738
25%,v1,0.0030841626535958334,0.4150982403760782,0.010368108368969009
25%,v1,0.0030941115653816266,0.41830122143243303,0.010179506900958736
25%,v1,0.0031040604771674194,0.41939112478590673,0.015916434053926086
25%,v1,0.0031140093889532126,0.42073818269550334,0.016380637046033365
25%,v1,0.0031239583007390053,0.42137843527136676,0.019728845764663553
25%,v1,0.0031339072125247986,0.4226841297583617,0.01876450703834267
25%,v1,0.0031438561243105918,0.4233853968879187,0.022068329532383895
25%,v1,0.0031538050360963845,0.42459136550630994,0.022401372283149527
25%,v1,0.0031637539478821777,0.4262325031499121,0.019230786326181182
25%,v1,0.0031737028596679705,0.428345690296126,0.015173799693629884
25%,v1,0.0031836517714537637,0.42866683664445415,0.017742302421796433
25%,v1,0.0031936006832395565,0.4281675211840973,0.01774231643546387
25%,v1,0.0032035495950253497,0.42733328491711065,0.016199899248275914
25%,v1,0.0032134985068111425,0.4282618078955905,0.01571939806820434
25%,v1,0.0032234474185969357,0.42952836839545994,0.015430699886414862
25%,v1,0.0032333963303827285,0.43085927876281227,0.016939723426313655
25%,v1,0.0032433452421685217,0.43188041420583256,0.016939723426313655
25%,v1,0.003253294153954315,0.43254586938950873,0.01571939806820434
25%,v1,0.0032632430657401077,0.4338767797568611,0.01571939806820434
25%,v1,0.003273191977525901,0.43434974848735547,0.014939431821413638
25%,v1,0.0032831408893116937,0.4345601997660731,0.01556594556494304
25%,v1,0.003293089801097487,0.4341103034488015,0.016447313912594116
25%,v1,0.0033030387128832796,0.43465480005926344,0.016020953921432938
25%,v1,0.003312987624669073,0.4353873209398413,0.01486801296399435
25%,v1,0.0033229365364548656,0.43585221899145377,0.017819762955791504
25%,v1,0.003332885448240659,0.436831119201526,0.018474777051221775
25%,v1,0.0033428343600264516,0.438133867435748,0.01571939806820434
25%,v1,0.003352783271812245,0.44011523125243546,0.015076834321734863
25%,v1,0.003362732183598038,0.44200662501967825,0.014116436188594714
25%,v1,0.003372681095383831,0.44508454609557024,0.011516002073796161
25%,v1,0.003382630007169624,0.4476075923162004,0.016939723426313655
25%,v1,0.003392578918955417,0.448642202406799,0.01724164980728196
25%,v1,0.00340252783074121,0.44863608286798123,0.017851937217436508
